TIME:       0.0460 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0460 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0470 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0000 |  AGHW:   0.0000
TIME:       0.0470 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0000 |  AGHW:   0.0000
TIME:       0.0480 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   0.0001 |  AGHW:   0.0001
TIME:       0.0480 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0490 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0490 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0500 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0500 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0510 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0510 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0520 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0520 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0530 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0530 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0540 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0540 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:   1.5708 |  AGHW:   1.5708
