        AOA          AOAHT        ELEV         ETAB         DYNP        FXHT         FZHT         MYHT         FXE          FZE          MYE          FXWB         FZWB         MYWB         FXTAB        FZTAB        MYTAB        
     -19.556      -13.185       -6.661        7.509         4604  -6.6938e+03  -2.8072e+04   2.5000e+05  -1.8698e+03  -7.8179e+03   6.9600e+04  -6.4090e+04  -2.9213e+05  -5.7005e+04   1.2594e+02   3.5455e+02  -2.9890e+03
     -19.548       32.362       -6.661        6.993         4604   1.6423e+04   6.8906e+04  -6.1367e+05  -1.8690e+03  -7.8181e+03   6.9604e+04   2.2759e+05   4.4924e+05   2.1986e+05   1.1724e+02   3.3020e+02  -2.7838e+03
     -19.548      -13.444       -6.661        7.512         4604  -6.8231e+03  -2.8626e+04   2.5494e+05  -1.8690e+03  -7.8181e+03   6.9604e+04  -6.4741e+04  -2.9667e+05  -5.7410e+04   1.2594e+02   3.5471e+02  -2.9905e+03
     -19.548      -13.441       -6.661        7.512         4604  -6.8213e+03  -2.8618e+04   2.5487e+05  -1.8690e+03  -7.8181e+03   6.9604e+04  -6.4731e+04  -2.9661e+05  -5.7404e+04   1.2594e+02   3.5470e+02  -2.9905e+03
     -19.548      -13.174       -6.661        7.509         4604  -6.6858e+03  -2.8050e+04   2.4981e+05  -1.8690e+03  -7.8181e+03   6.9604e+04  -6.4016e+04  -2.9191e+05  -5.6938e+04   1.2589e+02   3.5456e+02  -2.9893e+03
     -19.550       32.361       -6.661        6.993         4604   1.6424e+04   6.8902e+04  -6.1363e+05  -1.8692e+03  -7.8180e+03   6.9603e+04   2.2759e+05   4.4920e+05   2.1986e+05   1.1725e+02   3.3019e+02  -2.7838e+03
     -19.550      -13.446       -6.661        7.512         4604  -6.8246e+03  -2.8629e+04   2.5496e+05  -1.8692e+03  -7.8180e+03   6.9603e+04  -6.4758e+04  -2.9671e+05  -5.7427e+04   1.2596e+02   3.5470e+02  -2.9904e+03
     -19.550      -13.442       -6.661        7.512         4604  -6.8228e+03  -2.8621e+04   2.5490e+05  -1.8692e+03  -7.8180e+03   6.9603e+04  -6.4748e+04  -2.9665e+05  -5.7420e+04   1.2596e+02   3.5470e+02  -2.9904e+03
     -19.550      -13.175       -6.661        7.509         4604  -6.6873e+03  -2.8053e+04   2.4983e+05  -1.8692e+03  -7.8180e+03   6.9603e+04  -6.4033e+04  -2.9195e+05  -5.6955e+04   1.2591e+02   3.5456e+02  -2.9892e+03
     -19.552       32.359       -6.661        6.993         4604   1.6425e+04   6.8899e+04  -6.1359e+05  -1.8694e+03  -7.8180e+03   6.9602e+04   2.2759e+05   4.4916e+05   2.1986e+05   1.1727e+02   3.3019e+02  -2.7837e+03
     -19.552      -13.447       -6.661        7.512         4604  -6.8261e+03  -2.8632e+04   2.5499e+05  -1.8694e+03  -7.8180e+03   6.9602e+04  -6.4775e+04  -2.9674e+05  -5.7443e+04   1.2597e+02   3.5470e+02  -2.9903e+03
     -19.552      -13.444       -6.661        7.512         4604  -6.8243e+03  -2.8624e+04   2.5492e+05  -1.8694e+03  -7.8180e+03   6.9602e+04  -6.4766e+04  -2.9668e+05  -5.7437e+04   1.2597e+02   3.5470e+02  -2.9903e+03
     -19.552      -13.177       -6.661        7.509         4604  -6.6888e+03  -2.8056e+04   2.4986e+05  -1.8694e+03  -7.8180e+03   6.9602e+04  -6.4050e+04  -2.9198e+05  -5.6971e+04   1.2592e+02   3.5455e+02  -2.9891e+03
     -19.555       32.358       -6.661        6.993         4604   1.6426e+04   6.8895e+04  -6.1356e+05  -1.8697e+03  -7.8179e+03   6.9600e+04   2.2758e+05   4.4912e+05   2.1986e+05   1.1728e+02   3.3018e+02  -2.7836e+03
     -19.555      -13.449       -6.661        7.512         4604  -6.8276e+03  -2.8635e+04   2.5501e+05  -1.8697e+03  -7.8179e+03   6.9600e+04  -6.4792e+04  -2.9678e+05  -5.7460e+04   1.2598e+02   3.5469e+02  -2.9902e+03
     -19.555      -13.445       -6.661        7.512         4604  -6.8258e+03  -2.8627e+04   2.5494e+05  -1.8697e+03  -7.8179e+03   6.9600e+04  -6.4783e+04  -2.9672e+05  -5.7454e+04   1.2598e+02   3.5469e+02  -2.9902e+03
     -19.555      -13.178       -6.661        7.509         4604  -6.6903e+03  -2.8059e+04   2.4988e+05  -1.8697e+03  -7.8179e+03   6.9600e+04  -6.4067e+04  -2.9202e+05  -5.6988e+04   1.2593e+02   3.5455e+02  -2.9890e+03
     -19.557       32.356       -6.661        6.993         4604   1.6427e+04   6.8892e+04  -6.1352e+05  -1.8699e+03  -7.8179e+03   6.9599e+04   2.2758e+05   4.4907e+05   2.1985e+05   1.1729e+02   3.3018e+02  -2.7835e+03
